,access_code,date_last_confirmed,expected_date,fuel_type_code,id,open_date,owner_type_code,status_code,station_name,updated_at,facility_type,geocode_status,city,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,hy_is_retail,hy_pressures,hy_standards,hy_status_link,federal_agency,lon,lat
0,private,2020-09-03,,ELEC,1517,1999-10-15,LG,E,LADWP - Truesdale Center,2020-09-03T19:35:48Z,UTILITY,GPS,Sun Valley,CA,11797 Truesdale St,91352,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,40.0,Non-Networked,,,,,,,,,,,-118.3879713743439,34.2483191527193
1,private,2020-01-13,,ELEC,1520,2011-08-01,T,E,Southern California Edison - Rosemead Office Building 1,2020-07-20T18:42:03Z,UTILITY,200-9,Rosemead,CA,2244 Walnut Grove Ave,91770,US,"['J1772', 'NEMA520']",,22.0,22.0,Greenlots,http://greenlots.com/,,,,,,,,,,-118.081014,34.050745
2,public,2020-11-09,,ELEC,1523,1995-08-30,P,E,Los Angeles Convention Center,2020-11-09T16:53:32Z,PARKING_GARAGE,GPS,Los Angeles,CA,1201 S Figueroa St,90015,US,['J1772'],,,12.0,Non-Networked,,,,,,,,,,,-118.271387,34.040539
3,private,2020-11-09,,ELEC,1525,1999-10-15,LG,E,LADWP - John Ferraro Building,2020-11-09T16:53:32Z,UTILITY,GPS,Los Angeles,CA,111 N Hope St,90012,US,['J1772'],,,275.0,Non-Networked,,,,,,,,,,,-118.248589,34.059133
4,public,2019-05-09,,ELEC,1526,1995-08-15,P,E,Cherokee & Hollywood Parking Garage,2020-01-21T18:34:38Z,PARKING_GARAGE,200-8,Los Angeles,CA,1718 N Cherokee Ave,90028,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-118.334758,34.102404
5,private,2020-09-03,,ELEC,1531,2018-05-01,LG,E,LADWP - Haynes Power Plant,2020-09-03T19:35:48Z,UTILITY,GPS,Long Beach,CA,6801 E 2nd St,90803,US,['J1772'],,,9.0,Non-Networked,,,,,,,,,,,-118.096665,33.759802
6,private,2020-10-09,,ELEC,1533,1996-10-15,SG,E,State Capitol Parking Garage,2020-10-09T12:41:43Z,PARKING_GARAGE,200-8,Sacramento,CA,1303 10th St,95814,US,['J1772'],,,9.0,Non-Networked,,1 LP Inductive  1 SP Inductive  1 Avcon Conductive  1 Other Conductive,,,,,,,,,-121.495022,38.576769
7,private,2020-09-03,,ELEC,1552,1999-10-15,LG,E,LADWP - Harbor Generating Station,2020-09-03T19:35:48Z,UTILITY,200-8,Wilmington,CA,161 N Island Ave,90744,US,['J1772'],,,10.0,Non-Networked,,,,,,,,,,,-118.265628,33.770508
8,private,2020-09-03,,ELEC,1556,2016-01-01,LG,E,LADWP - Sylmar West,2020-09-03T19:35:48Z,UTILITY,200-8,Sylmar,CA,13201 Sepulveda Blvd,91342,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-118.480505,34.30309
9,private,2020-09-03,,ELEC,1572,1999-10-15,LG,E,LADWP - EV Service Center,2020-09-03T19:35:48Z,UTILITY,200-8,Los Angeles,CA,1630 N Main St,90012,US,"['CHADEMO', 'J1772']",1.0,,46.0,Non-Networked,,,,,,,,,,,-118.227605,34.066801
10,private,2020-09-03,,ELEC,1573,2019-04-01,LG,E,LADWP - Fairfax Center,2020-09-03T19:35:48Z,UTILITY,200-8,Los Angeles,CA,2311 S Fairfax Ave,90016,US,['J1772'],,,13.0,Non-Networked,,,,,,,,,,,-118.368841,34.036777
11,public,2019-09-09,,ELEC,1583,1996-10-15,SG,E,California Air Resources Board,2020-12-09T23:35:08Z,STATE_GOV,GPS,El Monte,CA,9530 Telstar Ave,91731,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-118.064,34.06872
12,private,2020-11-09,,ELEC,1589,1999-10-15,LG,E,LADWP - Palmetto Center,2020-11-09T16:53:32Z,UTILITY,GPS,Los Angeles,CA,1212 Palmetto St,90013,US,['J1772'],,,10.0,Non-Networked,,,,,,,,,,,-118.236065,34.039736
13,public,2019-12-12,,ELEC,6355,1997-07-30,P,E,Scripps Green Hospital,2020-12-06T18:51:53Z,HOSPITAL,GPS,La Jolla,CA,10666 N Torrey Pines Rd,92037,US,['J1772'],,,1.0,Non-Networked,,,Pay to Park,,,,,,,,-117.243,32.89947
14,public,2019-02-06,,ELEC,6384,2014-09-02,P,E,San Diego Wild Animal Park,2020-01-21T18:34:38Z,PAY_LOT,200-9,Escondido,CA,15500 San Pasqual Valley Rd,92027,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-117.004433,33.098589
15,public,2019-05-09,,ELEC,6405,2012-12-11,P,E,Galpin Motors,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Sepulveda,CA,15421 Roscoe Blvd,91343,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-118.468371,34.221665
16,public,2020-02-06,,ELEC,6425,1997-08-30,P,E,Galleria at Tyler,2020-02-06T21:24:11Z,SHOPPING_MALL,GPS,Riverside,CA,1299 Galleria at Tyler,92503,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-117.459053,33.909914
17,public,2020-04-08,,ELEC,6505,1997-08-30,LG,E,City of Pasadena - Holly Street Garage,2020-04-08T12:29:55Z,PARKING_GARAGE,200-8,Pasadena,CA,150 E Holly St,91103,US,['J1772'],,,16.0,Non-Networked,,,Free,,,,,,,,-118.147111,34.14762
18,public,2020-12-03,,ELEC,6506,1997-08-30,LG,E,City of Pasadena - De Lacey Garage,2020-12-03T22:33:12Z,PARKING_GARAGE,GPS,Pasadena,CA,45 De Lacey Ave,91105,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-118.152655,34.145138
19,public,2020-12-03,,ELEC,6507,1997-08-30,LG,E,City of Pasadena - Schoolhouse Garage,2020-12-03T22:33:12Z,PARKING_GARAGE,200-8,Pasadena,CA,33 E Green St,91105,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-118.150133,34.145119
20,public,2020-08-05,,ELEC,6508,1997-08-31,P,E,Pasadena Hilton,2020-08-05T19:05:18Z,HOTEL,200-9,Pasadena,CA,150 S Los Robles,91101,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-118.140553,34.142973
21,public,2020-10-09,,ELEC,6509,1997-08-31,P,E,Bristol Farms,2020-10-09T12:41:43Z,GROCERY,200-9,South Pasadena,CA,606 Fair Oaks Ave,91030,US,,,,,Non-Networked,,1 LP Inductive,,,,,,,,,-118.149597,34.118433
22,public,2019-09-09,,ELEC,7172,2012-05-04,P,E,Hyatt Regency Long Beach,2020-12-06T19:02:18Z,HOTEL,GPS,Long Beach,CA,200 S Pine Ave,90802,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-118.192,33.7637
23,public,2020-07-13,,ELEC,7184,1998-06-30,LG,E,Los Angeles International Airport (LAX) - Lot 6,2020-07-13T20:30:49Z,AIRPORT,GPS,Los Angeles,CA,1 World Way,90045,US,['J1772'],,,20.0,Non-Networked,,,Free,,,,,,,,-118.403342,33.94325
24,public,2020-03-03,,ELEC,7192,1998-05-30,P,E,Northridge Fashion Center - Yard House,2020-03-03T21:13:47Z,SHOPPING_MALL,GPS,Northridge,CA,9301 Tampa Ave,91324,US,['J1772'],,,2.0,Volta,https://voltacharging.com/,,Free,SOLAR,,,,,,,-118.556708,34.241116
25,public,2020-07-13,,ELEC,7194,1998-06-15,P,E,Ontario Airport Hilton,2020-07-13T20:30:49Z,HOTEL,GPS,Ontario,CA,700 N Haven Ave,91764,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-117.575,34.07122
26,public,2020-03-03,,ELEC,7195,1998-05-30,P,E,Courtyard Marriott - Oxnard Ventura,2020-03-03T21:13:47Z,HOTEL,GPS,Oxnard,CA,600 E Esplanade Dr,93030,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-119.170865,34.228315
27,public,2020-05-06,,ELEC,7196,2011-12-12,P,E,Hilton - Palm Springs,2020-05-06T17:56:57Z,HOTEL,GPS,Palm Springs,CA,400 E Tahquitz Canyon Way,92262,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-116.543589,33.824004
28,public,2019-10-04,,ELEC,7197,2012-12-14,P,E,East Bay Mini,2020-01-21T18:34:38Z,CAR_DEALER,200-8,Pleasanton,CA,4340 Rosewood Dr,94588,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-121.876172,37.700187
29,public,2019-11-08,,ELEC,7206,1998-05-30,P,E,Inland Empire Foods,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,Riverside,CA,5425 Wilson St,92509,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-117.38,34.0189
30,public,2020-07-13,,ELEC,7212,1998-06-30,P,E,Sacramento International Airport - Daily A Lot,2020-07-13T20:30:49Z,AIRPORT,GPS,Sacramento,CA,Lindbergh Dr,95837,US,['J1772'],,,4.0,Non-Networked,,1 SP Inductive,Free,,,,,,,,-121.58889,38.69005
31,public,2020-11-09,,ELEC,7229,1998-06-30,LG,E,City of Santa Monica - Airport,2020-11-09T16:53:32Z,AIRPORT,GPS,Santa Monica,CA,3223 Donald Douglas Loop,90405,US,['J1772'],,,2.0,Non-Networked,,,Free,SOLAR,,,,,,,-118.44704,34.017081
32,public,2020-07-13,,ELEC,7230,2019-04-08,LG,E,City of Santa Monica - Pier,2020-07-13T20:30:49Z,MUNI_GOV,200-9,Santa Monica,CA,200 Santa Monica Pier,90405,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-118.49583,34.010021
33,public,2020-03-03,,ELEC,7233,1998-05-30,P,E,Westfield Fashion Square,2020-03-03T21:13:47Z,SHOPPING_CENTER,GPS,Sherman Oaks,CA,14006 Riverside Dr,91423,US,['J1772'],,,4.0,Volta,https://voltacharging.com/,,Free,,,,,,,,-118.434454,34.156839
34,public,2019-08-08,,ELEC,7236,2011-12-31,LG,E,City of Temecula - 6th Street Lot,2020-01-21T18:34:38Z,PARKING_LOT,GPS,Temecula,CA,28462 Front St,92590,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-117.152,33.49605
35,public,2019-09-09,,ELEC,7242,1998-05-30,P,E,Universal City Hilton,2020-01-21T18:34:38Z,HOTEL,200-8,Universal City,CA,333 Universal Terrace Pkwy,91608,US,['NEMA520'],,1.0,,Non-Networked,,,Free,,,,,,,,-118.35904,34.138717
36,public,2020-04-08,,ELEC,7245,1998-06-30,P,E,Van Nuys Amtrak/Metrolink Station,2020-04-08T12:29:55Z,PARKING_LOT,200-8,Van Nuys,CA,7724 Van Nuys Blvd,91405,US,['J1772'],,,4.0,EV Connect,http://evconnect.com/,,Free,,,,,,,,-118.448704,34.21108
37,public,2020-12-03,,ELEC,7250,1998-06-15,T,E,Office Max - Home Depot,2020-12-03T22:33:12Z,SHOPPING_CENTER,200-8,Downey,CA,7075 Firestone Blvd,90241,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-118.153806,33.94756
38,public,2019-02-06,,ELEC,7275,1998-06-30,T,E,City of Lancaster - City Hall,2020-01-21T18:34:38Z,MUNI_GOV,200-9,Lancaster,CA,44933 Fern Ave,93534,US,"['J1772', 'TESLA']",,,5.0,Non-Networked,,,Free,SOLAR,,,,,,,-118.145218,34.698914
39,public,2019-09-09,,ELEC,7280,1998-07-01,P,E,Hyatt at Fisherman's Wharf,2020-12-06T19:03:52Z,HOTEL,GPS,San Francisco,CA,555 N Point St,94133,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-122.4152,37.80619
40,public,2020-09-03,,ELEC,7286,2019-11-01,P,E,Arden Fair Mall,2020-09-03T19:35:48Z,SHOPPING_MALL,200-8,Sacramento,CA,1689 Arden Way,95815,US,['J1772'],,,4.0,Non-Networked,,,,,,,,,,,-121.427045,38.599693
41,public,2019-05-09,,ELEC,21351,2002-01-31,LG,E,Japan Center Garage,2020-01-21T18:34:38Z,PARKING_GARAGE,GPS,San Francisco,CA,1610 Geary Blvd,94115,US,,,,,Non-Networked,,1 SP Inductive,,,,,,,,,-122.430237,37.784912
42,public,2019-11-08,,ELEC,21354,2002-01-31,LG,E,Saint Mary's Square Garage,2020-01-21T18:34:38Z,PARKING_GARAGE,200-8,San Francisco,CA,433 Kearny St,94104,US,,,,,Non-Networked,,1 SP Inductive,Free,,,,,,,,-122.404312,37.792058
43,public,2019-09-09,,ELEC,21358,2002-01-31,P,E,Palace Hotel,2020-12-06T19:02:53Z,HOTEL,GPS,San Francisco,CA,2 New Montgomery St,94105,US,['J1772'],,,1.0,Non-Networked,,,$7 per session,,,,,,,,-122.401,37.78881
44,public,2019-09-09,,ELEC,21360,2002-01-31,P,E,Mark Hopkins InterContinental Hotel,2020-01-21T18:34:38Z,HOTEL,200-8,San Francisco,CA,999 California St,94108,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-122.411265,37.791791
45,public,2019-05-09,,ELEC,21367,2002-01-31,LG,E,Ellis O'Farrell Garage,2020-01-21T18:34:38Z,PARKING_GARAGE,200-9,San Francisco,CA,123 O'Farrell St,94102,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-122.407088,37.786061
46,public,2019-09-09,,ELEC,21368,2002-01-31,P,E,Hotel Sofitel,2020-10-24T15:02:12Z,HOTEL,GPS,Los Angeles,CA,8555 Beverly Blvd,90048,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-118.377527,34.076264
47,public,2020-11-09,,ELEC,21374,2002-01-31,P,E,Music Center Parking - Level 2,2020-11-09T16:53:32Z,PAY_GARAGE,GPS,Los Angeles,CA,135 N Grand Ave,90012,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-118.24789,34.057657
48,public,2019-02-06,,ELEC,21383,1998-06-15,P,E,Balboa Golf Course,2020-01-21T18:34:38Z,REC_SPORTS_FACILITY,200-8,Encino,CA,16821 Burbank Blvd,91436,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-118.497212,34.169242
49,public,2019-12-12,,ELEC,21388,2012-06-15,P,E,Tops Auto Park Garage,2020-01-21T18:34:38Z,PARKING_GARAGE,GPS,Hollywood,CA,6464 Sunset Blvd,90028,US,['J1772'],,,4.0,Non-Networked,,,Free for first 30 minutes; $10 after first 30,,,,,,,,-118.331,34.097928
50,public,2020-07-13,,ELEC,21395,2002-01-15,P,E,California State University - Northridge,2020-07-13T20:30:49Z,COLLEGE_CAMPUS,GPS,Northridge,CA,18111 Nordhoff St,91330,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-118.523887,34.248959
51,public,2020-07-13,,ELEC,21396,2002-01-15,P,E,California State University - Northridge,2020-07-13T20:30:49Z,COLLEGE_CAMPUS,GPS,Northridge,CA,18111 Nordhoff St,91330,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-118.528543,34.241687
52,public,2020-07-13,,ELEC,21397,2002-01-15,P,E,California State University - Northridge,2020-07-13T20:30:49Z,COLLEGE_CAMPUS,GPS,Northridge,CA,18111 Nordhoff St,91330,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-118.532588,34.236853
53,public,2020-04-08,,ELEC,21398,2019-04-01,P,E,Northridge Metrolink Station,2020-04-08T12:29:55Z,PARKING_LOT,200-8,Northridge,CA,8775 Wilbur Ave,91324,US,['J1772'],,,4.0,EV Connect,http://evconnect.com/,,,,,,,,,,-118.544827,34.229277
54,public,2019-11-08,,ELEC,21402,2013-03-26,P,E,Los Angeles Harbor Department Headquarters,2020-01-21T18:34:38Z,PARKING_LOT,200-9,San Pedro,CA,425 S Palos Verdes St,90731,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-118.28192,33.740758
55,public,2019-03-07,,ELEC,21405,2002-01-31,P,E,City of Los Angeles - Constituent Service Center,2020-01-21T18:34:38Z,MUNI_GOV,200-8,Los Angeles,CA,8475 S Vermont Ave,90044,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-118.29187,33.961256
56,public,2020-04-08,,ELEC,21414,2019-04-01,P,E,Sylmar Metrolink Station,2020-04-08T12:29:55Z,PARKING_LOT,GPS,San Fernando,CA,Village Way Dr,91342,US,['J1772'],,,4.0,EV Connect,http://evconnect.com/,,Free,,,,,,,,-118.4497914,34.2924134
57,public,2019-05-09,,ELEC,21419,2013-07-01,P,E,Getty Center,2020-01-21T18:34:38Z,PARKING_GARAGE,200-9,Los Angeles,CA,1200 Getty Center Dr,90049,US,"['J1772', 'NEMA520']",,12.0,16.0,Non-Networked,,,Free,,,,,,,,-118.474585,34.077588
58,public,2020-12-03,,ELEC,21450,2014-06-01,P,E,Los Angeles County - Arboretum,2020-12-03T22:33:12Z,MUNI_GOV,GPS,Arcadia,CA,301 N Baldwin Ave,91007,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-118.050548,34.145528
59,public,2020-09-03,,ELEC,21498,2002-04-30,LG,E,City of Glendora - City Hall,2020-09-03T19:35:48Z,MUNI_GOV,GPS,Glendora,CA,114 S Vista Bonita Ave,91741,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-117.864,34.13556
60,public,2020-02-06,,ELEC,21524,2019-12-31,P,E,DoubleTree Hotel - Los Angeles - Westside,2020-02-06T21:24:11Z,HOTEL,GPS,Culver City,CA,6161 Centinela Ave,90230,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-118.3966,33.9826
61,public,2019-03-07,,ELEC,21525,2017-04-25,P,E,Helms Bakery Building,2020-01-21T18:34:38Z,PARKING_GARAGE,200-9,Los Angeles,CA,8800 Venice Blvd,90034,US,['J1772'],,,6.0,Non-Networked,,,$1 per hour for first two hours; $3 per hour thereafter,,,,,,,,-118.385231,34.029971
62,public,2020-02-06,,ELEC,21535,2002-05-30,P,E,Westfield MainPlace Mall,2020-02-06T21:24:11Z,SHOPPING_MALL,GPS,Santa Ana,CA,2800 N Main St,92705,US,['J1772'],,,6.0,Non-Networked,,,Free,,,,,,,,-117.870566,33.777054
63,public,2020-07-13,,ELEC,21559,2002-05-30,P,E,California State University - Channel Islands,2020-07-13T20:30:49Z,COLLEGE_CAMPUS,GPS,Camarillo,CA,1 University Dr,93012,US,['J1772'],,,5.0,Non-Networked,,,Free,,,,,,,,-119.0458546627045,34.16657601660278
64,public,2019-09-09,,ELEC,21561,2002-05-30,LG,E,Brea Downtown Parking,2020-12-08T00:02:09Z,PARKING_GARAGE,200-8,Brea,CA,101 S Brea Blvd,92821,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-117.898618,33.919899
65,public,2020-12-03,,ELEC,21565,2002-05-15,P,E,Home Depot,2020-12-03T22:33:12Z,SHOPPING_CENTER,GPS,Newbury Park,CA,2745 Teller Rd,91320,US,"['J1772', 'NEMA515']",,4.0,2.0,Non-Networked,,,Free,,,,,,,,-118.934793,34.192178
66,public,2019-02-06,,ELEC,21566,2002-05-30,P,E,Lake Casitas Municipal Water District - Recreational Area,2020-01-21T18:34:38Z,PARK,GPS,Oak View,CA,Casitas Pass Rd & Baldwin Rd,93022,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-119.3368,34.418322
67,public,2020-12-03,,ELEC,21569,2002-05-30,P,E,San Dimas Park & Ride,2020-12-03T22:33:12Z,PARKING_LOT,GPS,San Dimas,CA,205 S San Dimas Ave,91773,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-117.809208,34.105275
68,public,2020-12-03,,ELEC,21594,2002-05-30,LG,E,City of Pasadena - El Molino Lot,2020-12-03T22:33:12Z,PARKING_LOT,GPS,Pasadena,CA,100 N El Molino Ave,91101,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-118.136621,34.147709
69,private,2020-01-13,,ELEC,21597,2015-01-01,T,E,Southern California Edison - Rosemead Service Center,2020-07-20T18:42:03Z,UTILITY,GPS,Rosemead,CA,2131 Walnut Grove Ave,91770,US,"['J1772', 'NEMA520']",,9.0,9.0,Greenlots,http://greenlots.com/,,,,,,,,,,-118.0841599,34.05334473
70,public,2019-11-08,,ELEC,21606,2012-10-19,LG,E,Ventura County Government Center,2020-01-21T18:34:38Z,MUNI_GOV,GPS,Ventura,CA,800 S Victoria Ave,93009,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-119.2124,34.267352
71,public,2019-11-08,,ELEC,21607,2012-10-18,LG,E,Ventura County Air Pollution Control District,2020-01-21T18:34:38Z,MUNI_GOV,GPS,Ventura,CA,669 County Square Dr,93003,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-119.2154,34.268756
72,public,2019-04-08,,ELEC,21608,2002-05-30,P,E,Pacific View Mall,2020-01-21T18:34:38Z,SHOPPING_MALL,GPS,Ventura,CA,3295 E Main St,93003,US,['J1772'],,,2.0,Non-Networked,,1 SP Inductive,,,,,,,,,-119.2492,34.268
73,private,2020-09-03,,ELEC,21609,1999-10-15,LG,E,LADWP - Scattergood Generating Facility,2020-09-03T19:35:48Z,UTILITY,200-9,Playa del Rey,CA,12700 Vista del Mar,90293,US,['J1772'],,,16.0,Non-Networked,,,,,,,,,,,-118.425334,33.917593
74,private,2019-12-12,,ELEC,21612,2015-12-31,LG,E,Los Angeles Department of Public Works - Baldwin Park Construction Permit Office,2020-12-15T15:57:16Z,MUNI_GOV,200-9,Baldwin Park,CA,14747 E Ramona Blvd,91706,US,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,-117.95463,34.089085
75,private,2020-04-08,,ELEC,21615,2015-12-31,LG,E,Los Angeles Department of Public Works - Hollydale Construction Permit Office,2020-04-08T12:29:55Z,MUNI_GOV,GPS,Downey,CA,11282 S Garfield Ave,90242,US,,,,,Non-Networked,,2 Conductive 240V,,,,,,,,,-118.1678308134918,33.92364287667621
76,private,2019-12-12,,ELEC,21618,2017-10-20,LG,E,Los Angeles Department of Public Works - Imperial Maintenance Yard,2020-06-24T22:43:15Z,MUNI_GOV,200-8,South Gate,CA,5525 Imperial Hwy,90280,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-118.175758,33.930663
77,public,2019-11-08,,ELEC,21673,2004-06-01,SG,E,University of California - Davis Extension,2020-11-25T00:12:23Z,COLLEGE_CAMPUS,200-9,Davis,CA,1441 Research Park Dr,95616,US,"['J1772', 'NEMA520']",,1.0,3.0,Non-Networked,,,$9 parking fee,,,,,,,,-121.732015,38.539118
78,public,2019-05-09,,ELEC,21713,2002-07-15,LG,E,San Luis Obispo County Air Pollution Control District,2020-01-21T18:34:38Z,MUNI_GOV,GPS,San Luis Obispo,CA,3433 Roberto Ct,93401,US,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,,Free,,,,,,,,-120.64492,35.25939
79,public,2019-08-08,,ELEC,21794,1998-06-30,P,E,Soquel & Front Garage,2020-01-21T18:34:38Z,PARKING_GARAGE,200-9,Santa Cruz,CA,601 Front St,95061,US,['J1772'],,,5.0,Non-Networked,,,Free,,,,,,,,-122.024849,36.973393
80,private,2020-07-13,,HY,21796,2000-04-01,LG,E,SunLine Transit Agency,2020-07-13T20:30:49Z,FLEET_GARAGE,200-9,Thousand Palms,CA,32-505 Harry Oliver Trail,92276,US,,,,,,,,,,,False,['350'],,,,-116.395444,33.812361
81,private,2020-09-03,,ELEC,25171,2019-04-01,LG,E,LADWP - Wilmington District Yard,2020-09-03T19:35:48Z,UTILITY,200-8,Wilmington,CA,315 N Island Ave,90744,US,['J1772'],,,8.0,Non-Networked,,,,,,,,,,,-118.265821,33.773005
82,public,2019-09-09,,ELEC,25491,2004-06-01,LG,E,Fair Oaks - Orangevale - Community Library,2020-01-21T18:34:38Z,PARKING_LOT,GPS,Fair Oaks,CA,11601 Fair Oaks Blvd,95628,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-121.2634,38.66292
83,public,2019-05-09,,ELEC,25494,2004-05-30,P,E,Sutter Galleria Mall - University of California - Davis Extension,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,200-9,Sacramento,CA,2901 K St,95816,US,"['J1772', 'NEMA520']",,1.0,2.0,Non-Networked,,,Free,,,,,,,,-121.467902,38.57277
84,public,2019-09-09,,ELEC,25497,2019-08-01,LG,E,North Highlands Library,2020-12-06T19:09:11Z,LIBRARY,GPS,Antelope,CA,4235 Antelope Rd,95843,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-121.365,38.7042
85,private,2019-11-08,,ELEC,25500,2004-05-30,P,E,Gateway Oaks Metro Center,2020-08-13T16:45:05Z,OFFICE_BLDG,200-8,Sacramento,CA,2710 Gateway Oaks Dr,95833,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-121.517263,38.615468
86,public,2015-01-06,,ELEC,25501,2019-11-01,P,E,University of California - Davis - Medical Center,2020-11-19T00:35:18Z,HOSPITAL,GPS,Sacramento,CA,4860 Y St,95817,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-121.4487,38.552483
87,public,2020-09-03,,ELEC,25502,2013-02-11,LG,E,City of Sacramento - Belle Cooledge Library,2020-09-03T19:35:48Z,LIBRARY,GPS,Sacramento,CA,5600 S Land Park Dr,95822,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-121.5112,38.524403
88,public,2019-11-08,,ELEC,25507,2004-05-30,LG,E,Mosquito Road Park and Ride,2020-01-21T18:34:38Z,MUNI_GOV,GPS,Placerville,CA,Mosquito Rd & Clay St,95667,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-120.78962,38.73323
89,public,2019-06-06,,ELEC,25511,2004-06-15,LG,E,City of Vacaville - Cultural Center,2020-08-11T19:55:32Z,MUNI_GOV,GPS,Vacaville,CA,1000 Ulatis Dr,95687,US,['J1772'],,,1.0,Non-Networked,,1 SP Inductive,Free,,,,,,,,-121.9628,38.356027
90,public,2019-06-06,,ELEC,25514,2004-06-15,LG,E,Stars Recreation Center,2020-08-11T19:55:32Z,REC_SPORTS_FACILITY,GPS,Vacaville,CA,155 Browns Valley Pkwy,95688,US,['J1772'],,,3.0,Non-Networked,,1 SP Inductive,Free,,,,,,,,-121.967,38.36557
91,public,2019-06-06,,ELEC,25515,2004-06-15,LG,E,City of Vacaville - Regional Transport Center,2020-08-11T19:55:32Z,TRAVEL_CENTER,GPS,Vacaville,CA,190 Hickory Ln,95688,US,"['J1772', 'TESLA']",,,3.0,Non-Networked,,1 SP Inductive,Free,,,,,,,,-121.987,38.35172
92,public,2019-06-06,,ELEC,25516,2004-06-15,LG,E,Office of Housing & Redevelopment,2020-08-11T19:55:32Z,OFFICE_BLDG,200-9,Vacaville,CA,40 Eldridge Ave,95688,US,['J1772'],,,1.0,Non-Networked,,1 SP Inductive,Free,,,,,,,,-122.001886,38.356907
93,public,2019-06-06,,ELEC,25517,2004-06-15,LG,E,KUIC Radio - Parking Lot,2020-08-11T19:55:32Z,PARKING_LOT,GPS,Vacaville,CA,500 Catherine St,95688,US,['J1772'],,,1.0,Non-Networked,,1 SP Inductive,Free,,,,,,,,-121.9862,38.355867
94,private,2019-06-06,,ELEC,25518,2004-06-15,LG,E,City of Vacaville - City Hall,2020-08-11T19:55:32Z,MUNI_GOV,200-9,Vacaville,CA,650 Merchant St,95688,US,['J1772'],,,3.0,Non-Networked,,3 SP Inductive,Free,,,,,,,,-121.994475,38.351758
