,access_code,date_last_confirmed,expected_date,fuel_type_code,id,open_date,owner_type_code,status_code,station_name,updated_at,facility_type,geocode_status,city,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,hy_is_retail,hy_pressures,hy_standards,hy_status_link,federal_agency,lon,lat
4812,public,2020-12-22,,ELEC,159325,,,E,QCOM,2020-12-22T00:25:38Z,,200-9,San Diego,CA,10105 Pacific Heights Blvd,92121,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on time of day. $0.25 per kWh,,"{'posts': ['1:666361', '1:666831', '1:666861'], 'ports': ['1', '2']}",,,,,,-117.192532,32.903693
4813,public,2020-12-22,,ELEC,159326,,,E,QCOM,2020-12-22T00:25:38Z,,GPS,San Diego,CA,10145 Pacific Center Blvd,92121,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on time of day. $0.25 per kWh,,"{'posts': ['1:666211'], 'ports': ['1', '2']}",,,,,,-117.1927644,32.9034009
4814,public,2020-12-22,,ELEC,159328,,,E,EFC CHARGEPOINT,2020-12-22T00:25:38Z,,200-9,Los Angeles,CA,16133 Ventura Blvd,91436,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:665821', '1:665961'], 'ports': ['1', '2']}",,,,,,-118.484928,34.157073
4815,public,2020-12-22,,ELEC,159331,,,E,FACEBOOK,2020-12-22T00:25:38Z,,GPS,Menlo Park,CA,120 Independence Dr,94025,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:663401'], 'ports': ['1']}",,,,,,-122.1782827,37.4832292
4816,public,2020-12-22,,ELEC,159332,,,E,FACEBOOK,2020-12-22T00:25:38Z,,GPS,Menlo Park,CA,150 Independence Dr,94025,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:663391'], 'ports': ['1']}",,,,,,-122.1774103,37.4828848
4817,public,2020-12-22,,ELEC,159333,,,E,FACEBOOK,2020-12-22T00:25:38Z,,200-9,Menlo Park,CA,135 Commonweath Dr,94025,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:655751', '1:655761', '1:655771'], 'ports': ['1', '2']}",,,,,,-122.175181,37.481738
4818,public,2020-12-22,,ELEC,159334,,,E,FACEBOOK,2020-12-22T00:25:38Z,,200-9,Menlo Park,CA,135 Commonwealth Dr,94025,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:649401', '1:655741'], 'ports': ['1', '2']}",,,,,,-122.175181,37.481738
4819,public,2020-12-22,,ELEC,159335,,,E,SAFARI PARK,2020-12-22T00:25:38Z,,200-9,Escondido,CA,15500 San Pasqual Valley Rd,92027,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,$0.49 per kWh,,"{'posts': ['1:651561', '1:651571'], 'ports': ['1', '2']}",,,,,,-117.004433,33.098589
4820,public,2020-12-22,,ELEC,159337,,,E,CITY OF DUBLIN,2020-12-22T00:25:38Z,,GPS,Dublin,CA,Central Pkwy and Kelton St. Lower parking lot at Fallon Sports Park,94568,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.29 per kWh,,"{'posts': ['1:645531'], 'ports': ['1', '2']}",,,,,,-121.8542012,37.710398
4821,public,2020-12-22,,ELEC,159338,,,E,CITY OF DUBLIN,2020-12-22T00:25:38Z,,GPS,Dublin,CA,11600 Shannon Ave,94568,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.29 per kWh,,"{'posts': ['1:645221'], 'ports': ['1', '2']}",,,,,,-121.9406801,37.7142111
4822,public,2020-12-22,,ELEC,159339,,,E,BAYSHORE TECH,2020-12-22T00:25:38Z,,200-9,Redwood City,CA,1600 Bridge Pkwy,94065,US,['J1772'],,,10.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:115655', '1:212367', '1:645091', '1:645101', '1:95403'], 'ports': ['1', '2']}",,,,,,-122.258393,37.536576
4823,public,2020-12-22,,ELEC,159340,,,E,DC CORRIDOR,2020-12-22T00:25:38Z,,200-9,Yreka,CA,1842 Fort Jones Rd,96097,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"$0.55 per hour, $0.25 per kWh",,"{'posts': ['1:644751', '1:644791'], 'ports': ['1', '2']}",,,,,,-122.644296,41.700494
4824,public,2020-12-22,,ELEC,159341,,,E,PV,2020-12-22T00:25:38Z,,GPS,Los Angeles,CA,15225 Palisades Village Lane,90272,US,['J1772'],,,21.0,ChargePoint Network,http://www.chargepoint.com/,,$1.5 per kWh,,"{'posts': ['1:470871', '1:559391', '1:559431', '1:642001', '1:642011', '1:642031', '1:642061', '1:642071', '1:642101', '1:642111', '1:642191'], 'ports': ['1', '2']}",,,,,,-118.524902,34.0480419
4825,public,2020-12-22,,ELEC,159342,,,E,PV,2020-12-22T00:25:38Z,,GPS,Los Angeles,CA,15255 Palisades Village Lane,90272,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$1.5 per kWh,,"{'posts': ['1:642021'], 'ports': ['1', '2']}",,,,,,-118.5246914,34.0474981
4826,public,2020-12-22,,ELEC,159343,,,E,ONNI 700 BRAND,2020-12-22T00:25:38Z,,200-9,Glendale,CA,700 N Brand Blvd,91203,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $5 per additional hour, $1.5 per kWh",,"{'posts': ['1:640421', '1:640441'], 'ports': ['1', '2']}",,,,,,-118.253553,34.157082
4827,public,2020-12-22,,ELEC,159344,,,E,SAN ANSELMO,2020-12-22T00:25:38Z,,GPS,San Anselmo,CA,541 San Anselmo Ave,94960,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.25 per kWh,,"{'posts': ['1:640011'], 'ports': ['1', '2']}",,,,,,-122.5632206,37.9748734
4828,public,2020-12-22,,ELEC,159345,,,E,ONNI BRAND LP,2020-12-22T00:25:38Z,,200-8,Glendale,CA,611 N Brand Blvd,91203,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $5 per additional hour, $1.5 per kWh",,"{'posts': ['1:636891', '1:636901', '1:636911'], 'ports': ['1', '2']}",,,,,,-118.255336,34.155415
